# Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Derivative_order_1_number_points_3_step_1_Column_5_div_Column_3,Derivative_order_1_number_points_3_step_2_Column_5_div_Column_3,Derivative_order_1_number_points_3_step_3_Column_5_div_Column_3
lib_bnnt_M062X_Z-29.FChk,0.0,0.0,-0.0002900000000000001,-1286.938228623414,1.739932045845441,366.7170425343181,-3233.480072416116,-366.71697124519997274,-366.71675811352496874,-366.71641318766665682
lib_bnnt_M062X_Z-28.FChk,0.0,0.0,-0.0002800000000000001,-1286.93821124243,1.736265037830567,366.6844998138292,-3274.255410234838,-366.68443436529996865,-366.6842498627249695,-366.68394704561665773
lib_bnnt_M062X_Z-27.FChk,0.0,0.0,-0.0002700000000000001,-1286.938193898093,1.732598357158135,366.6515789548969,-3308.625429663176,-366.65152848024996624,-366.6513796375499711,-366.65114085476665712
lib_bnnt_M062X_Z-26.FChk,0.0,0.0,-0.0002600000000000001,-1286.938176590482,1.728932007260962,366.6183567777675,-3334.005113751197,-366.61832490979997357,-366.61822565954996822,-366.61806922308332382
lib_bnnt_M062X_Z-25.FChk,0.0,0.0,-0.0002500000000000001,-1286.938159319504,1.725265990659939,366.5849363657133,-3348.065154345883,-366.58492283884997023,-366.58488665197497036,-366.58483134914998988
lib_bnnt_M062X_Z-24.FChk,0.0,0.0,-0.0002400000000000001,-1286.938142085151,1.721600308804185,366.5514401300681,-3348.91983881119,-366.55144839414996716,-366.55148278359997063,-366.55153992369999155
lib_bnnt_M062X_Z-23.FChk,0.0,0.0,-0.0002300000000000001,-1286.93812488743,1.717934961692056,366.5180064903555,-3335.267127082925,-366.51804272834997103,-366.5181474306499695,-366.5183260683833249
lib_bnnt_M062X_Z-22.FChk,0.0,0.0,-0.0002200000000000001,-1286.938107726348,1.714269947949618,366.4847854782194,-3306.461518571686,-366.48484646714997182,-366.48502768314997122,-366.48532858171665696
lib_bnnt_M062X_Z-21.FChk,0.0,0.0,-0.0002100000000000001,-1286.938090602001,1.710605264762713,366.451927494915,-3262.525173397433,-366.45201263794997137,-366.45226867549997085,-366.45269208839999114
lib_bnnt_M062X_Z-20.FChk,0.0,0.0,-0.0002000000000000001,-1286.938073514257,1.706940907696859,366.4195850521606,-3204.102475584043,-366.4196908838499699,-366.42001676842497018,-366.42055296524999208
lib_bnnt_M062X_Z-19.FChk,0.0,0.0,-0.0001900000000000001,-1286.93805646323,1.703276870945036,366.3878900612932,-3132.393110915155,-366.38802089889996896,-366.3884062142999712,-366.38904489633332467
lib_bnnt_M062X_Z-18.FChk,0.0,0.0,-0.0001800000000000001,-1286.938039448754,1.699613147278881,366.3569737029534,-3049.059093001786,-366.3571215447499725,-366.3575610255249703,-366.3582858480999907
lib_bnnt_M062X_Z-17.FChk,0.0,0.0,-0.0001700000000000001,-1286.938022470939,1.695949728514141,366.3269405735092,-2956.174024575363,-366.32710115214997165,-366.32758333022497008,-366.32837595618332388
lib_bnnt_M062X_Z-16.FChk,0.0,0.0,-0.0001600000000000001,-1286.938005529764,1.692286605255838,366.297874240501,-2856.185076605849,-366.29804511569996764,-366.29855348482497032,-366.2993931671999912
lib_bnnt_M062X_Z-15.FChk,0.0,0.0,-0.0001500000000000001,-1286.937988625274,1.688623767611827,366.269831116749,-2751.926806409798,-366.270005817499969,-366.27052897842496954,-366.27138698873332465
lib_bnnt_M062X_Z-14.FChk,0.0,0.0,-0.0001400000000000001,-1286.937971757297,1.684961205139488,366.2428390033321,-2646.669789190543,-366.24301284114631083,-366.24352990702130953,-366.24437986489635039
lib_bnnt_M062X_Z-13.FChk,0.0,0.0,-0.00013,-1286.937954925914,1.681298907355004,366.2168887927772,-2544.198580508133,-366.21705399654997126,-366.21754723949997065,-366.21835197353332264
lib_bnnt_M062X_Z-12.FChk,0.0,0.0,-0.00012,-1286.937938131348,1.677636864059557,366.1919307175904,-2448.87671453676,-366.19208163784996987,-366.19252505154996843,-366.1932483111166569
lib_bnnt_M062X_Z-11.FChk,0.0,0.0,-0.00011,-1286.937921373271,1.673975065722247,366.1678714382006,-2365.646942303473,-366.16799610655368746,-366.16836604610369055,-366.16896518018700482
lib_bnnt_M062X_Z-10.FChk,0.0,0.0,-0.0001000000000000001,-1286.937904651824,1.670313504137426,366.1445599390894,-2299.878585321408,-366.14465045434742432,-366.14492077199742667,-366.14535474748075922
lib_bnnt_M062X_Z-9.FChk,0.0,0.0,-9.000000000000003e-05,-1286.937887967027,1.66665217271316,366.121797218858,-2256.952971098685,-366.12184543744997403,-366.1219913022999686,-366.1222197906166569
lib_bnnt_M062X_Z-8.FChk,0.0,0.0,-8.000000000000003e-05,-1286.937871318792,1.662991067228677,366.0993288090185,-2241.492107116482,-366.09933215025034187,-366.09933163265034362,-366.0993299930670294
lib_bnnt_M062X_Z-7.FChk,0.0,0.0,-7.000000000000004e-05,-1286.937854707232,1.659330186070155,366.0768662451769,-2256.217689155689,-366.0768178278492868,-366.076669762424289,-366.07643455484928843
lib_bnnt_M062X_Z-6.FChk,0.0,0.0,-6.000000000000002e-05,-1286.937838132145,1.65566953087212,366.0541055570145,-2300.603813768398,-366.0540073745999726,-366.0537291135499689,-366.05328508266665838
lib_bnnt_M062X_Z-5.FChk,0.0,0.0,-5.000000000000002e-05,-1286.937821593782,1.652009105922663,366.0307710329061,-2369.744175095994,-366.03064039924996878,-366.0302615488749717,-366.0296690204999907
lib_bnnt_M062X_Z-4.FChk,0.0,0.0,-4.000000000000002e-05,-1286.937805091992,1.648348918064135,366.0066596182794,-2454.02311690119,-366.00651572314966078,-366.00609461682466053,-366.00544091976628652
lib_bnnt_M062X_Z-3.FChk,0.0,0.0,-3.000000000000001e-05,-1286.937788626883,1.6446889756082,365.9816842832127,-2540.0838834369,-365.98154883439997234,-365.9811576923499705,-365.9805509609166574
lib_bnnt_M062X_Z-2.FChk,0.0,0.0,-2.000000000000001e-05,-1286.937772198263,1.641029287087447,365.9559020633127,-2613.093489717952,-365.95579966154966023,-365.9555062417496607,-365.95505276566628505
lib_bnnt_M062X_Z-1.FChk,0.0,0.0,-1e-05,-1286.93775580631,1.637369859614969,365.9295114512713,-2659.631488768501,-365.92946364909996904,-365.92932128692496913,-365.9291128918666583
lib_bnnt_M062X_Z+0.FChk,0.0,0.0,0.0,-1286.937739450863,1.633710697814465,365.9028302464259,-2670.142791182388,-365.90284291229996805,-365.90289492059997029,-365.90298495499999024
lib_bnnt_M062X_Z+1.FChk,0.0,0.0,1e-05,-1286.937723131991,1.630051802756723,365.8762443099589,-2640.111336381773,-365.87632619209966162,-365.87657760172465934,-365.87698898436628514
lib_bnnt_M062X_Z+2.FChk,0.0,0.0,2.000000000000001e-05,-1286.937706849805,1.626393171290623,365.8501627758477,-2569.778475151808,-365.85031229114997045,-365.85075165199997005,-365.8514719679999899
lib_bnnt_M062X_Z+3.FChk,0.0,0.0,3.000000000000001e-05,-1286.937690604136,1.6227347965109,365.8249708408474,-2462.853556830424,-365.82517711189965867,-365.82578649584965996,-365.82678018164961795
lib_bnnt_M062X_Z+4.FChk,0.0,0.0,4.000000000000002e-05,-1286.937674395122,1.619076667748385,365.8010082208089,-2324.905141019523,-365.8012607005499692,-365.80200717642496794,-365.803241554283324
lib_bnnt_M062X_Z+5.FChk,0.0,0.0,5.000000000000002e-05,-1286.937658222648,1.615418771296889,365.7785557748252,-2161.963245895531,-365.77883724094996734,-365.77970618584996979,-365.78112465571665698
lib_bnnt_M062X_Z+6.FChk,0.0,0.0,6.000000000000002e-05,-1286.937642086719,1.611761091003566,365.7578340011806,-1979.568774567258,-365.75815167114928875,-365.75909842762428864,-365.7606660174492881
lib_bnnt_M062X_Z+7.FChk,0.0,0.0,7.000000000000004e-05,-1286.937625987375,1.608103608263466,365.7390139149832,-1782.239090382208,-365.73935961430034483,-365.7403686759003417,-365.74205177108369605
lib_bnnt_M062X_Z+8.FChk,0.0,0.0,8.000000000000003e-05,-1286.937609924554,1.60444630381128,365.7222280181342,-1573.175806460551,-365.72258568064996953,-365.7236590361499718,-365.7254388803166572
lib_bnnt_M062X_Z+9.FChk,0.0,0.0,9.000000000000003e-05,-1286.937593898429,1.600789156549853,365.7075843485572,-1353.965675075949,-365.7079584579974304,-365.7090824848974296,-365.71096719068076433
lib_bnnt_M062X_Z+10.FChk,0.0,0.0,0.0001000000000000001,-1286.937577908829,1.59713214464212,365.6951845933315,-1123.946269773442,-365.69557928915368689,-365.69677097887868722,-365.69878326640366603
lib_bnnt_M062X_Z+11.FChk,0.0,0.0,0.00011,-1286.937561955795,1.59347524496407,365.6851555529318,-878.7351384791353,-365.68558349974996974,-365.6868820592749696,-365.68911335663332343
lib_bnnt_M062X_Z+12.FChk,0.0,0.0,0.00012,-1286.937546039342,1.589818432972125,365.6776965622871,-606.9955488100737,-365.67818482939996938,-365.67969080594996895,-365.6823348723499908
lib_bnnt_M062X_Z+13.FChk,0.0,0.0,0.00013,-1286.937530159389,1.586161681267482,365.6731851399161,-283.5125765493008,-365.67379811214631322,-365.67571266394631538,-365.6792124486463557
lib_bnnt_M062X_Z+14.FChk,0.0,0.0,0.0001400000000000001,-1286.937514316106,1.582504957009882,365.6723732438251,145.8779064677585,-365.67324049849997122,-365.67602692309996912,-365.68135620224999033
lib_bnnt_M062X_Z+15.FChk,0.0,0.0,0.0001500000000000001,-1286.937498509352,1.578848216457512,365.6768329284529,798.9705472048149,-365.67825573404997014,-365.68294188867496985,-365.69248056861665797
lib_bnnt_M062X_Z+16.FChk,0.0,0.0,0.0001600000000000001,-1286.937482739093,1.575191391895201,365.6899582965038,1945.619825823006,-365.69264327884996849,-365.70182179684997192,-365.72175974581665842
lib_bnnt_M062X_Z+17.FChk,0.0,0.0,0.0001700000000000001,-1286.937467005509,1.571534363591935,365.7195382955079,4265.673764485253,-365.7253878596499737,-365.74601936947497102,-365.7820660479999913
lib_bnnt_M062X_Z+18.FChk,0.0,0.0,0.0001800000000000001,-1286.937451308523,1.567876884138008,365.7852203561002,9676.265165350636,-365.7993954600999736,-365.8339712049749709,-365.8250864357999911
lib_bnnt_M062X_Z+19.FChk,0.0,0.0,0.0001900000000000001,-1286.937435647975,1.564218375682733,365.9368955967728,21617.37004469621,-365.9425545502999681,-365.89130801427497144,-365.84146920359999058
lib_bnnt_M062X_Z+20.FChk,0.0,0.0,0.0002000000000000001,-1286.937420024118,1.560558033047002,366.0700658763677,-15954.32854665544,-365.9832205684499693,-365.89950987557496806,-365.83518436813332425
lib_bnnt_M062X_Z+21.FChk,0.0,0.0,0.0002100000000000001,-1286.93740443684,1.556898711271364,365.8047085184019,-15323.1495955118,-365.856465200849968,-365.8530788221499686,-365.7890513351666561
lib_bnnt_M062X_Z+22.FChk,0.0,0.0,0.0002200000000000001,-1286.937388886129,1.553240903742985,365.7795036801956,-6609.412844728035,-365.72293707584996791,-365.71229972759996912,-365.73107801579999104
lib_bnnt_M062X_Z+23.FChk,0.0,0.0,0.0002300000000000001,-1286.937373371961,1.549584252529847,365.5311259588733,-20682.50332443479,-365.56813425434997022,-365.6050067394749709,-365.67363846171665673
lib_bnnt_M062X_Z+24.FChk,0.0,0.0,0.0002400000000000001,-1286.937357894402,1.545929541057898,365.4491456090701,2620.517101809182,-365.48707640309997394,-365.5822250921499701,-365.63727458321665686
lib_bnnt_M062X_Z+25.FChk,0.0,0.0,0.0002500000000000001,-1286.9373424534,1.542274511001785,365.6018649244024,27981.13851951112,-365.59631592994996996,-365.59444333689997034,-365.6549610293666571
lib_bnnt_M062X_Z+26.FChk,0.0,0.0,0.0002600000000000001,-1286.937327049002,1.538617614739299,365.7004868790741,-6375.991696742899,-365.70181027069996677,-365.69837441687496954,-365.67749289033332524
lib_bnnt_M062X_Z+27.FChk,0.0,0.0,0.0002700000000000001,-1286.937311681021,1.534960474796371,365.7829026944071,24616.61333226062,-365.80043290379996912,-365.77270113394996992,-365.7004188441833238
lib_bnnt_M062X_Z+28.FChk,0.0,0.0,0.0002800000000000001,-1286.937296349795,1.531301606081223,365.9125260894847,-16069.4252512113,-365.84359199719997308,-365.75247030129996978,-365.69949926323332248
lib_bnnt_M062X_Z+29.FChk,0.0,0.0,0.0002900000000000001,-1286.937281055081,1.527643602956427,365.6881590752078,-19336.32650158286,-365.70450769879997044,-365.69834375949996938,-365.6554779229833246
lib_bnnt_M062X_Z+30.FChk,0.0,0.0,0.0003000000000000001,-1286.937265796876,1.523987515927247,365.5435811306405,-10707.71079964775,-365.55309552179996566,-365.5830004325749714,-365.59830302269999203
lib_bnnt_M062X_Z+31.FChk,0.0,0.0,0.0003100000000000001,-1286.937250575254,1.520332541045991,365.4574276078113,-7038.417347881649,-365.46149316634997234,-365.47565853544997053,-365.50467189274999158
lib_bnnt_M062X_Z+32.FChk,0.0,0.0,0.0003200000000000001,-1286.937235390199,1.51667828606392,365.3962885142524,-5390.043145007537,-365.39822154909632326,-365.40475398972131896,-365.41863831976302449
lib_bnnt_M062X_Z+33.FChk,0.0,0.0,0.0003300000000000002,-1286.9372202417,1.513024576615009,365.3469793829177,-4557.333444759073,-365.34801481310368354,-365.3514097187536841,-365.35823047188699672
lib_bnnt_M062X_Z+34.FChk,0.0,0.0,0.0003400000000000001,-1286.937205129754,1.509371325767658,365.3039707134489,-4083.749637136581,-365.30459788839631438,-365.30659912464631817,-365.31042847847969476
lib_bnnt_M062X_Z+35.FChk,0.0,0.0,0.0003500000000000002,-1286.937190054334,1.505718484657241,365.26475496153,-3778.28628046712,-365.26518343620368148,-365.26653194317868217,-365.26899652518699613
lib_bnnt_M062X_Z+36.FChk,0.0,0.0,0.0003600000000000001,-1286.937175015379,1.502066022098934,365.2281352529928,-3555.159106028734,-365.22846599794632289,-365.22948738122132056,-365.2312912369130269
lib_bnnt_M062X_Z+37.FChk,0.0,0.0,0.0003700000000000002,-1286.93716001295,1.498413915337282,365.193512517872,-3374.598008293751,-365.19379132624997328,-365.19463791117497137,-365.19609646848332368
lib_bnnt_M062X_Z+38.FChk,0.0,0.0,0.0003800000000000002,-1286.937145047055,1.494762146272409,365.1605631391549,-3218.265708154773,-365.1608098243999694,-365.1615529846249702,-365.1628116501666572
lib_bnnt_M062X_Z+39.FChk,0.0,0.0,0.0003900000000000002,-1286.937130117708,1.491110699140794,365.1290930401157,-3078.102108183497,-365.1293146429999671,-365.12998447627496817,-365.13110732899999192
lib_bnnt_M062X_Z+40.FChk,0.0,0.0,0.0004000000000000002,-1286.937115224877,1.487459559979549,365.0989577975294,-2950.988459197989,-365.09915912814996697,-365.09976533037497032,-365.10077490359998942
lib_bnnt_M062X_Z+41.FChk,0.0,0.0,0.0004100000000000002,-1286.937100368587,1.483808715958231,365.0700328702823,-2836.097173263625,-365.07021601774997355,-365.07075744319996852,-365.07166306278332393
lib_bnnt_M062X_Z+42.FChk,0.0,0.0,0.0004200000000000002,-1286.937085548725,1.480158155659194,365.0422108949611,-2733.543582379915,-365.04235575824997004,-365.04283727267497142,-365.043636285283324
lib_bnnt_M062X_Z+43.FChk,0.0,0.0,0.0004300000000000002,-1286.937070765372,1.476507868843066,365.01531973147,-2643.701607830439,-365.0154585275999693,-365.01587486384997158,-365.01656964396665786
lib_bnnt_M062X_Z+44.FChk,0.0,0.0,0.0004400000000000002,-1286.937056018488,1.472857846488642,364.9892776891457,-2566.808562778653,-364.98939396944997313,-364.98974645707496908,-364.9903357736499913
lib_bnnt_M062X_Z+45.FChk,0.0,0.0,0.0004500000000000002,-1286.937041308162,1.469208080963677,364.9639405408951,-2502.790353967529,-364.96403438654996884,-364.96432578134997105,-364.96481086374998926
lib_bnnt_M062X_Z+46.FChk,0.0,0.0,0.0004600000000000002,-1286.937026634359,1.465558565800911,364.9391806732577,-2451.157082975049,-364.93925759324996894,-364.93948703182496832,nan
lib_bnnt_M062X_Z+47.FChk,0.0,0.0,0.0004700000000000002,-1286.937011997004,1.461909295811812,364.9148789095684,-2410.974766229746,-364.91493967709996776,nan,nan
lib_bnnt_M062X_Z+48.FChk,0.0,0.0,0.0004800000000000002,-1286.936997396128,1.458260267007369,364.8909274282869,-2380.89365662755,nan,nan,nan
