# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,Derivative_order_1_number_points_3_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_4_Dipole_Moment_z_div_E_Field_Z
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.938565833217,1.809662726320252,367.279941193813,-2901.486469906116,nan,nan,nan,nan
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.938547754912,1.805990071822592,367.2509728324576,-2892.426912034659,-367.2509875356499675,nan,nan,nan
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.938529713534,1.802317706569539,367.2220873068306,-2885.016594060996,-367.22209678719997134,nan,nan,nan
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.938511708588,1.798645629886848,367.1932667965269,-2879.422795144092,-367.19327730849997263,nan,nan,nan
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.9384937405,1.794973841023369,367.1644921634656,-2875.818952458195,-367.1644970274499717,-367.16449329114163866,nan,nan
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.938475809181,1.791302339946299,367.1357430530618,-2874.409263384374,-367.1357400520999676,-367.13574462022080308,nan,nan
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.93845791447,1.787631126222327,367.1070081510695,-2875.448935045412,-367.1069919856499701,-367.1069946449708049,-367.10700775579443406,nan
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.938440056493,1.783960200106586,367.0782247570487,-2879.254912103235,-367.07821449484997178,-367.07823036929163682,-367.07823368874443212,nan
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.938422235273,1.78028956193243,367.0493998349807,-2886.208336754311,-367.04939086184996794,-367.04940263763746863,-367.04941151020832135,-367.04943179198746964
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.938404450688,1.776619212289349,367.0204883814189,-2896.742117832399,-367.02046878049996564,-367.02049068963746944,-367.02049912531665743,-367.02051976102496783
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.938386702836,1.77294915255682,366.9914520291428,-2911.314978592151,-366.99141847354996868,-366.99145450079580238,-366.99146148988054444,-366.9914759370416359
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.938368991674,1.769279383919878,366.9622477392263,-2930.36704046931,-366.96221122369630316,-366.9622454797296344,-366.96225272513245513,-366.96226082159838655
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.938351317269,1.765609908332346,366.9328281395323,-2954.258345809737,-366.93278508650369865,-366.93282733160370174,-366.93282703062590336,-366.93282468513286584
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938333679527,1.761940728218148,366.9031454537525,-2983.192271922302,-366.9030915249963048,-366.90314556432547133,-366.9031382656602349,-366.9031159692046372
lib_bnnt_M062X_Z-34.FChk,0.0,0.0,-0.0003400000000000001,-1286.938316078476,1.758271846501846,366.8731478323253,-3017.128539282496,-366.87308830170370427,-366.8731455818495326,-366.87313165487312358,-366.87309051964328385
lib_bnnt_M062X_Z-33.FChk,0.0,0.0,-0.0003300000000000002,-1286.938298514142,1.754603266452114,366.8427873251689,-3055.691852849502,-366.84272248119630339,-366.84278253890880572,-366.84275967717967826,-366.8426982267650539
lib_bnnt_M062X_Z-32.FChk,0.0,0.0,-0.0003200000000000001,-1286.938280986369,1.750934992052222,366.8120213589357,-3098.094757571957,-366.81194847189996766,-366.81201445508746875,-366.8119824605499908,-366.8118976791395548
lib_bnnt_M062X_Z-31.FChk,0.0,0.0,-0.0003100000000000001,-1286.938263495425,1.747267027482676,366.7808169949104,-3143.083980937485,-366.78073983754996934,-366.78080747237913475,-366.78076697303610287,-366.78066225585621973
lib_bnnt_M062X_Z-30.FChk,0.0,0.0,-0.0003000000000000001,-1286.938246041045,1.743599377255471,366.7491568590878,-3188.931123936259,-366.74908186174996882,-366.74914388481663866,-366.74909673241943267,-366.74897774972913556
lib_bnnt_M062X_Z-29.FChk,0.0,0.0,-0.0002900000000000001,-1286.938228623414,1.739932045845441,366.7170425343181,-3233.480072416116,-366.71697124519997274,-366.7170283506374689,-366.71697723329999022,-366.71684829215621973
lib_bnnt_M062X_Z-28.FChk,0.0,0.0,-0.0002800000000000001,-1286.93821124243,1.736265037830567,366.6844998138292,-3274.255410234838,-366.68443436529996865,-366.68448628347913565,-366.68443341574443595,-366.68430281001871918
lib_bnnt_M062X_Z-27.FChk,0.0,0.0,-0.0002700000000000001,-1286.938193898093,1.732598357158135,366.6515789548969,-3308.625429663176,-366.65152848024996624,-366.65156538914997073,-366.6515164469083241,-366.65139385801663618
lib_bnnt_M062X_Z-26.FChk,0.0,0.0,-0.0002600000000000001,-1286.938176590482,1.728932007260962,366.6183567777675,-3334.005113751197,-366.61832490979997357,-366.61834543834580094,-366.61830242143610117,-366.61819838303955366
