# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 2),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 6)
lib_bnnt_M062X_Z-23.FChk,0.0,0.0,-0.0002300000000000001,-1286.93812488743,1.717934961692056,366.5180064903555,-3335.267127082925,1.7179383571216903628,1.7179441928125646124,-366.46104818295902172,1.7179368907042003567,-366.49944932791294075,2904.4076699003075945,1.7179336928729060873,-366.47328585469305262,3264.193120795242959,-10154708.035503269492,1.7179338807797712454,-366.54196044533244445,3570.0293997006018354,1109706.9550266864026
lib_bnnt_M062X_Z-22.FChk,0.0,0.0,-0.0002200000000000001,-1286.938107726348,1.714269947949618,366.4847854782194,-3306.461518571686,1.7142783222974478271,1.7142796818014824824,-366.44115403346703846,1.7142720407682665165,-366.4706041626757867,2864.6253775305062192,1.7142691215427513107,-366.44114718390567448,3163.9885348004723233,-9886209.163450859352,1.7142686398050753389,-366.50622727195915318,3574.3744373727945072,-228795.59588759007784
lib_bnnt_M062X_Z-21.FChk,0.0,0.0,-0.0002100000000000001,-1286.938090602001,1.710605264762713,366.451927494915,-3262.525173397433,1.7106182874732052914,1.7106153697318952723,-366.4212598839750552,1.7106074772948704295,-366.44215682036233062,2824.843085160704844,1.7106048666338249198,-366.40999713403464144,3066.468937526225789,-9617710.291398449212,1.7106037561592572469,-366.47051638295421563,3565.6915642768613217,-1495875.1985984897328
lib_bnnt_M062X_Z-20.FChk,0.0,0.0,-0.0002000000000000001,-1286.938073514257,1.706940907696859,366.4195850521606,-3204.102475584043,1.7069582526489627556,1.706951256603802982,-366.40136573448307195,1.7069431963057828583,-366.4141073009725726,2785.0607927909034687,1.7069409183941671879,-366.37980885519274823,2971.634328972503356,-9349211.419346039072,1.7069392289799815716,-366.4349544862779029,3544.6950098948360204,-2691531.8531060125597
lib_bnnt_M062X_Z-19.FChk,0.0,0.0,-0.0001900000000000001,-1286.93805646323,1.703276870945036,366.3878900612932,-3132.393110915155,1.7032982178247202199,1.7032873424172056115,-366.38147158499108869,1.7032791938227745662,-366.38645560450651256,2745.2785004211020934,1.7032772673403172591,-366.3505554974927896,2879.4847091393050242,-9080712.547293628932,1.7032750561735447876,-366.3996611475956658,3512.099003708752345,-3815765.5594101585648
lib_bnnt_M062X_Z-18.FChk,0.0,0.0,-0.0001800000000000001,-1286.938039448754,1.699613147278881,366.3569737029534,-3049.059093001786,1.6996381830004776842,1.6996236271721031608,-366.36157743549910543,1.6996154658676163163,-366.35920173096415056,2705.496208051300718,1.6996139042573131504,-366.3222102110475604,2790.0200780266307932,-8812213.675241218791,1.6996112344862981883,-366.36474879027813464,3468.617775200644132,-4868576.3175109277445
lib_bnnt_M062X_Z-17.FChk,0.0,0.0,-0.0001700000000000001,-1286.938022470939,1.695949728514141,366.3269405735092,-2956.174024575363,1.6959781481762351485,1.6959601108684956301,-366.34168328600712217,1.6959520084620788715,-366.33234568034548656,2665.7139156814993426,1.6959508201986917502,-366.2947461459698553,2703.2404356344806637,-8543714.80318880865,1.6959477595760708352,-366.33032269540111955,3414.9655538525451237,-5849964.1274083200988
lib_bnnt_M062X_Z-16.FChk,0.0,0.0,-0.0001600000000000001,-1286.938005529764,1.692286605255838,366.297874240501,-2856.185076605849,1.6923181133519926127,1.692296793506383019,-366.3217891365151389,1.6922888176279329949,-366.30588745265052059,2625.9316233116979673,1.6922880064864888195,-366.26813645237246903,2619.1457819628546353,-8275215.9311363985103,1.6922846260835925064,-366.29648100174561026,3351.8565691464889647,-6759928.9891023356276
lib_bnnt_M062X_Z-15.FChk,0.0,0.0,-0.0001500000000000001,-1286.937988625274,1.688623767611827,366.269831116749,-2751.926806409798,1.688658078527750077,1.6886336750857653279,-366.30189498702315562,1.6886258893869494494,-366.2798270478792526,2586.149330941896592,1.6886254547112389909,-366.24235428036819645,2537.736117011752708,-8006717.05908398837,1.6886218277039166431,-366.2633147057977762,3280.0050505645096364,-7598470.9025929743325
lib_bnnt_M062X_Z-14.FChk,0.0,0.0,-0.0001400000000000001,-1286.937971757297,1.684961205139488,366.2428390033321,-2646.669789190543,1.6849980437035075413,1.6849707556066425565,-366.28200083753117236,1.6849632197608989981,-366.25416446603168266,2546.3670385720952167,1.6849631567319757698,-366.21737278006983224,2459.011440781174882,-7738218.1870315782294,1.6849593572578432998,-366.23090766174896638,3200.125227588640785,-8365589.867880236211
lib_bnnt_M062X_Z-13.FChk,0.0,0.0,-0.00013,-1286.937954925914,1.681298907355004,366.2168887927772,-2544.198580508133,1.6813380088792649659,1.6813080350690146654,-366.26210668803918888,1.6813008047715523644,-366.22889970710781046,2506.58474620229341,1.6813011046762314929,-366.19316510159017092,2382.9717532711203472,-7469719.3149791651776,1.6812972067633420514,-366.1993365814957092,3112.931329700915235,-9061285.884964128421
lib_bnnt_M062X_Z-12.FChk,0.0,0.0,-0.00012,-1286.937938131348,1.677636864059557,366.1919307175904,-2448.87671453676,1.6776779740550224351,1.6776455134728817387,-366.24221253854720565,1.6776386404406803955,-366.20403277110763654,2466.8024538324920887,1.677639290940037494,-366.16970439504200782,2309.61705448159085,-7201220.4429267554015,1.6776353675069751056,-366.16867103463971383,3019.1375863833687179,-9685558.953844635079
lib_bnnt_M062X_Z-11.FChk,0.0,0.0,-0.00011,-1286.937921373271,1.673975065722247,366.1678714382006,-2365.646942303473,1.6740179392307798994,1.6739831908182437268,-366.2223183890552224,1.6739767227900538048,-366.17956365803116064,2427.0201614626907134,1.673977708187923844,-366.14696381053813742,2238.947344412585353,-6932721.570874345261,1.6739738301153199939,-366.13897344848786786,2919.4582271180339126,-10238409.074521765805
lib_bnnt_M062X_Z-10.FChk,0.0,0.0,-0.0001000000000000001,-1286.937904651824,1.670313504137426,366.1445599390894,-2299.878585321408,1.6703579044065373984,1.6703210671051006696,-366.20242423956323932,1.6703150478414433953,-366.15549236787838297,2387.2378690928897154,1.6703163493529195763,-366.1249164981913546,2170.9626230641045892,-6664222.698821937668,1.6703125846263927413,-366.11029910805223928,2814.6074813869456879,-10719836.246995515479
lib_bnnt_M062X_Z-9.FChk,0.0,0.0,-9.000000000000003e-05,-1286.937887967027,1.66665217271316,366.121797218858,-2256.952971098685,1.6666978695822948378,1.6666591423334524727,-366.18253009007125592,1.6666536116166198355,-366.1318189006493029,2347.4555767230880705,1.6666552076365524612,-366.10353560811445364,2105.6628904361468355,-6395723.826769525708,1.6666516205610705932,-366.08269615605007477,2705.299578672135084,-11129840.47126589577
lib_bnnt_M062X_Z-8.FChk,0.0,0.0,-8.000000000000003e-05,-1286.937871318792,1.662991067228677,366.0993288090185,-2241.492107116482,1.6630378347580523021,1.6629974165032992203,-366.16263594057927266,1.6629924101373539727,-366.10854325634392104,2307.6732843532866952,1.6629942765088493209,-366.08279429042022976,2043.0481465287136347,-6127224.9547171155677,1.6629909269945152744,-366.05620559290380203,2592.248748455638324,-11468421.747332896215
lib_bnnt_M062X_Z-7.FChk,0.0,0.0,-7.000000000000004e-05,-1286.937854707232,1.659330186070155,366.0768662451769,-2256.217689155689,1.6593777999338097664,1.6593358896146408879,-366.1427417910872894,1.6593314394254165454,-366.08566543496223716,2267.89099198348532,1.6593335497083357392,-366.0626656952214776,1983.118391341804535,-5858726.0826647054273,1.6593304926275956511,-366.0308612767410275,2476.16922021948844,-11735580.075196519835
lib_bnnt_M062X_Z-6.FChk,0.0,0.0,-6.000000000000002e-05,-1286.937838132145,1.65566953087212,366.0541055570145,-2300.603813768398,1.6557177651095672257,1.6556745616674774703,-366.12284764159530612,1.6556706955025783114,-366.06318543650425132,2228.1086996136838907,1.6556730212420361926,-366.0431229726309919,1925.8736248754194607,-5590227.210612294923,1.6556703058583108069,-366.0066899233945376,2357.7752234457190417,-11931315.454856766847
lib_bnnt_M062X_Z-5.FChk,0.0,0.0,-5.000000000000002e-05,-1286.937821593782,1.652009105922663,366.0307710329061,-2369.744175095994,1.65205773028532469,1.6520134326618089774,-366.10295349210332286,1.6520101743906100437,-366.04110326096996347,2188.3264072438825152,1.6520126853854740449,-366.02413927276156747,1871.3138471295585669,-5321728.3385598847826,1.6520103548532129869,-365.9837111064022984,2237.7809876163642202,-12055627.886313636721
lib_bnnt_M062X_Z-4.FChk,0.0,0.0,-4.000000000000002e-05,-1286.937805091992,1.648348918064135,366.0066596182794,-2454.02311690119,1.6483976954610821518,1.6483525025976354019,-366.08305934261133957,1.648349872111282498,-366.01941890835937363,2148.544114874081113,1.6483525366826715132,-366.005687745725999,1819.4390581042217401,-5053229.4665074744607,1.648350627618830513,-365.96193725700745547,2116.900742213457503,-12108517.369567129782
lib_bnnt_M062X_Z-3.FChk,0.0,0.0,-3.000000000000001e-05,-1286.937788626883,1.6446889756082,365.9816842832127,-2540.0838834369,1.6447376606368396136,1.6446917714749567463,-366.06316519311935628,1.6446897846863664396,-365.9981323786724818,2108.7618225042797107,1.6446925699461496982,-365.98774154163708128,1770.249257799409018,-4784730.5944550641384,1.6446911120730907594,-365.9413736641583343,1995.8487167190327388,-12089983.90461724592
lib_bnnt_M062X_Z-2.FChk,0.0,0.0,-2.000000000000001e-05,-1286.937772198263,1.641029287087447,365.9559020633127,-2613.093489717952,1.6410776258125970767,1.6410312392937730116,-366.04327104362737302,1.6410299081376326329,-365.97724367190928804,2068.9795301344783218,1.6410327802569285705,-365.97027381060760903,1723.7444462151204162,-4516231.722402653907,1.6410317961167430906,-365.92201847450843977,1875.3391406151237392,-12000027.4914639851795
lib_bnnt_M062X_Z-1.FChk,0.0,0.0,-1e-05,-1286.93775580631,1.637369859614969,365.9295114512713,-2659.631488768501,1.6374175909883545378,1.6373709060540841951,-366.02337689413538974,1.6373702384868518378,-365.95675278806979225,2029.1972377646769129,1.6373731629645269682,-365.95325770275037708,1679.9246233513558956,-4247732.850350243539,1.6373726677047818057,-365.90386269241645661,1756.0862433837641711,-11838648.130107347465
lib_bnnt_M062X_Z+0.FChk,0.0,0.0,0.0,-1286.937739450863,1.633710697814465,365.9028302464259,-2670.142791182388,1.6337575561641120014,1.6337107717558903008,-366.00348274464340648,1.6337107717557948217,-365.93665972715399448,1989.4149453948755308,1.6337137136869626097,-365.93666636817818016,1638.7897892081155078,-3979233.9782978333533,1.6337137149178690976,-365.8868901799462492,1638.8042545069879452,-11605845.820547332987
lib_bnnt_M062X_Z+1.FChk,0.0,0.0,1e-05,-1286.937723131991,1.630051802756723,365.8762443099589,-2640.111336381773,1.6300975213398694651,1.6300508363991913264,-365.98358859515142322,1.630051503966232345,-365.9169644891618947,1949.6326530250741488,1.630054428310752078,-365.92047295700381304,1600.3399437853992221,-3710735.1062454231674,1.6300549260337579889,-365.8710776568668615,1524.2074034668287487,-11301620.56278394166
lib_bnnt_M062X_Z+2.FChk,0.0,0.0,2.000000000000001e-05,-1286.937706849805,1.626393171290623,365.8501627758477,-2569.778475151808,1.6264374865156269262,1.6263910999839872693,-365.96369444565943993,1.6263924311399351683,-365.89766707409349297,1909.8503606552727397,1.6263953029909108283,-365.9046506193400704,1564.5750870832070151,-3442236.2341930127996,1.6263962895987152856,-365.8563947006525171,1413.0099197453202756,-10925972.356817173204
lib_bnnt_M062X_Z+3.FChk,0.0,0.0,3.000000000000001e-05,-1286.937690604136,1.6227347965109,365.8249708408474,-2462.853556830424,1.6227774516913843893,1.622731562510278134,-365.94380029616745667,1.6227335492986740591,-365.87876748194878926,1870.0680682854713509,1.6227363341509531948,-365.88917250529974712,1531.4952191015389299,-3173737.3621406025684,1.6227377944989445317,-365.8428037464826194,1305.9260328244964285,-10478901.202647028049
lib_bnnt_M062X_Z+4.FChk,0.0,0.0,4.000000000000002e-05,-1286.937674395122,1.619076667748385,365.8010082208089,-2324.905141019523,1.6191174168671418511,1.619072223978063917,-365.92390614667547338,1.6190748544642197771,-365.86026571272778354,1830.2857759156699486,1.6190775184828923763,-365.87401176499563787,1501.1003398403949378,-2905238.490088192246,1.619079430032008945,-365.83026008724175143,1203.6699721863908846,-9960407.100273505831
lib_bnnt_M062X_Z+5.FChk,0.0,0.0,5.000000000000002e-05,-1286.937658222648,1.615418771296889,365.7785557748252,-2161.963245895531,1.6154573820428993129,1.6154130843873446201,-365.9040119971834901,1.6154163426583430868,-365.84216176643047586,1790.5034835458685464,1.6154188529472404477,-365.85914154854053748,1473.3904492997750507,-2636739.6180357819237,1.6154211859782543748,-365.81871187351967575,1106.9559673130374514,-9370490.049696606692
lib_bnnt_M062X_Z+6.FChk,0.0,0.0,6.000000000000002e-05,-1286.937642086719,1.611761091003566,365.7578340011806,-1979.568774567258,1.6117973472186567772,1.6117541437381202454,-365.88411784769150684,1.6117580099028147535,-365.82445564305686617,1750.7211911760671711,1.6117603347730083575,-365.84453500604724063,1448.3655474796792844,-2368240.7459833717835,1.6117630526722322489,-365.80810011361133477,1016.4982476864699563,-8709150.050916331104
lib_bnnt_M062X_Z+7.FChk,0.0,0.0,7.000000000000004e-05,-1286.937625987375,1.608103608263466,365.7390139149832,-1782.239090382208,1.6081373123944142365,1.6080954020303907856,-365.86422369819952355,1.6080998522194055328,-365.80714734260695448,1710.9388988062657418,1.6081019614577059166,-365.8301652876285421,1426.0256343801075907,-2099741.8739309612793,1.6081050210741225092,-365.79835867351685025,933.01104278872199194,-7976387.103932677649
