# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,Derivative_order_1_number_points_3_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_4_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_5_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_4_Dipole_Moment_z_div_E_Field_Z
lib_bnnt_M062X_Z-48.FChk,0.0,0.0,-0.0004800000000000002,-1286.938565833217,1.809662726320252,367.279941193813,-2901.486469906116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lib_bnnt_M062X_Z-47.FChk,0.0,0.0,-0.0004700000000000002,-1286.938547754912,1.805990071822592,367.2509728324576,-2892.426912034659,-367.2509875356499675,nan,nan,nan,nan,nan,nan,nan,2892.4460699990788763,nan,nan,nan
lib_bnnt_M062X_Z-46.FChk,0.0,0.0,-0.0004600000000000002,-1286.938529713534,1.802317706569539,367.2220873068306,-2885.016594060996,-367.22209678719997134,-367.22213242207497005,nan,nan,nan,-367.2220849089083015,nan,nan,2885.7036200001513142,2885.5113574997431978,nan,nan
lib_bnnt_M062X_Z-45.FChk,0.0,0.0,-0.0004500000000000002,-1286.938511708588,1.798645629886848,367.1932667965269,-2879.422795144092,-367.19327730849997263,-367.1932969073249715,-367.19333496541665665,nan,nan,-367.19327077555830363,nan,nan,2878.1921199995912868,2879.987987499982001,2880.8543144443972521,nan
lib_bnnt_M062X_Z-44.FChk,0.0,0.0,-0.0004400000000000002,-1286.9384937405,1.794973841023369,367.1644921634656,-2875.818952458195,-367.1644970274499717,-367.16450868029997012,-367.16452860009999176,-367.16455484777496987,nan,-367.16449314316663527,-367.16449329114163866,nan,2877.8640900005941168,2876.8628200002516804,2877.647155555649937,2878.878715000009322
lib_bnnt_M062X_Z-43.FChk,0.0,0.0,-0.0004300000000000002,-1286.938475809181,1.791302339946299,367.1357430530618,-2874.409263384374,-367.1357400520999676,-367.1357445065499709,-367.13574395181665805,-367.13574416553747026,-367.13573763431998145,-367.13573856728330252,-367.13574462022080308,nan,2873.5309800002272014,2875.252090000080712,2876.2326344444890336,2877.6370893750627011
lib_bnnt_M062X_Z-42.FChk,0.0,0.0,-0.0004200000000000002,-1286.93845791447,1.787631126222327,367.1070081510695,-2875.448935045412,-367.1069919856499701,-367.1069772734749697,-367.1069599583166573,-367.1069251589874694,-367.10687902713998237,-367.10699688970830354,-367.1069946449708049,-367.10700775579443406,2876.0823099992743288,2876.2778624997907295,2877.4794922222256843,2879.1760656250346608
lib_bnnt_M062X_Z-41.FChk,0.0,0.0,-0.0004100000000000002,-1286.938440056493,1.783960200106586,367.0782247570487,-2879.254912103235,-367.07821449484997178,-367.078191423749969,-367.07814110914998906,-367.0780745871249696,-367.07798237192998217,-367.07822218521664207,-367.07823036929163682,-367.07823368874443212,2879.415850000387059,2880.0561900001073796,2881.5189077778640514,2883.4959712500642965
lib_bnnt_M062X_Z-40.FChk,0.0,0.0,-0.0004000000000000002,-1286.938422235273,1.78028956193243,367.0493998349807,-2886.208336754311,-367.04939086184996794,-367.0493416376749687,-367.0492671070166563,-367.04915863778746898,-367.0490166869999819,-367.0494072699083037,-367.04940263763746863,-367.04941151020832135,2885.3107500003810715,2887.285717500305504,2888.8903522222957698,2890.931784375034184
lib_bnnt_M062X_Z-39.FChk,0.0,0.0,-0.0003900000000000002,-1286.938404450688,1.776619212289349,367.0204883814189,-2896.742117832399,-367.02046878049996564,-367.02040466769996832,-367.02029816634999018,-367.02014660188746892,-367.01994521522998202,-367.02049015143329902,-367.02049068963746944,-367.02049912531665743,2899.1055200000728136,2898.6194149999617145,2899.973305555582147,2902.2410931250036035
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.938386702836,1.77294915255682,366.9914520291428,-2911.314978592151,-366.99141847354996868,-366.9913400020999683,-366.9911981406333226,-366.9909965060124701,-366.99073494184998262,-366.99144463069996883,-366.99145450079580238,-366.99146148988054444,2910.9558699993201591,2912.8778399997349993,2914.6789933332339957,2917.2565831249306867
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.938368991674,1.769279383919878,366.9622477392263,-2930.36704046931,-366.96221122369630316,-366.96210178002130106,-366.96192384306300988,-366.96167068089630242,-366.96134170104635203,-366.96224770492130207,-366.9622454797296344,-366.96225272513245513,2930.4941000001681575,2931.6693524999248748,2933.9939111109369476,2936.6993399998457284
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.938351317269,1.765609908332346,366.9328281395323,-2954.258345809737,-366.93278508650369865,-366.93265137435370113,-366.93243062058701323,-366.93212350260369928,-366.93172623910366204,-366.9328296572203627,-366.93282733160370174,-366.93282703062590336,2954.733340000220491,2955.9849350000072261,2957.863078888820995,2960.8249749999928397
