# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz
lib_bnnt-3_M062X_Z-50.FChk,0.0,0.0,-0.002500000000000001,-330.8072407009612,0.5693115009821366,87.47749146234048,980.0785230821315
lib_bnnt-3_M062X_Z-49.FChk,0.0,0.0,-0.002450000000000001,-330.807212344754,0.5649364106765051,87.52588315418916,952.3940424361502
lib_bnnt-3_M062X_Z-48.FChk,0.0,0.0,-0.002400000000000001,-330.807184207362,0.5605589386885632,87.57277884667073,926.6223796300332
lib_bnnt-3_M062X_Z-47.FChk,0.0,0.0,-0.002350000000000001,-330.8071562889022,0.5561791451127025,87.61893961095461,923.486381389442
lib_bnnt-3_M062X_Z-46.FChk,0.0,0.0,-0.002300000000000001,-330.807128589487,0.5517970394120013,87.66539952281345,936.6392354841599
lib_bnnt-3_M062X_Z-45.FChk,0.0,0.0,-0.002250000000000001,-330.8071011092383,0.5474125909397922,87.71269911861566,955.7220438724238
lib_bnnt-3_M062X_Z-44.FChk,0.0,0.0,-0.002200000000000001,-330.8070738482671,0.5430257531197387,87.7609762275427,975.1955760894489
lib_bnnt-3_M062X_Z-43.FChk,0.0,0.0,-0.002150000000000001,-330.8070468067038,0.5386364776322901,87.81019292945888,993.175133667261
lib_bnnt-3_M062X_Z-42.FChk,0.0,0.0,-0.002100000000000001,-330.8070199846615,0.5342447195834232,87.86026462150859,1009.425180372905
lib_bnnt-3_M062X_Z-41.FChk,0.0,0.0,-0.002050000000000001,-330.8069933822716,0.5298504382450053,87.91111247524813,1024.301218162349
lib_bnnt-3_M062X_Z-40.FChk,0.0,0.0,-0.002000000000000001,-330.8069669996605,0.5254535963491827,87.9626803026396,1038.309960639321
lib_bnnt-3_M062X_Z-39.FChk,0.0,0.0,-0.001950000000000001,-330.8069408369553,0.5210541587520225,88.01493717919632,1051.938385856854
lib_bnnt-3_M062X_Z-38.FChk,0.0,0.0,-0.001900000000000001,-330.8069148942874,0.5166520912974297,88.06787455356314,1065.588046202933
lib_bnnt-3_M062X_Z-37.FChk,0.0,0.0,-0.001850000000000001,-330.8068891717906,0.5122473598068953,88.12150128227023,1079.551973857071
lib_bnnt-3_M062X_Z-36.FChk,0.0,0.0,-0.001800000000000001,-330.8068636695983,0.5078399293355038,88.17583806584659,1094.011415622787
lib_bnnt-3_M062X_Z-35.FChk,0.0,0.0,-0.001750000000000001,-330.8068383878442,0.5034297637162908,88.23091200491359,1109.042766520779
lib_bnnt-3_M062X_Z-34.FChk,0.0,0.0,-0.001700000000000001,-330.8068133266687,0.4990168253730278,88.28675162406054,1124.62836746725
lib_bnnt-3_M062X_Z-33.FChk,0.0,0.0,-0.001650000000000001,-330.8067884862079,0.4946010753578847,88.34338242349287,1140.666526145384
lib_bnnt-3_M062X_Z-32.FChk,0.0,0.0,-0.001600000000000001,-330.8067638666073,0.4901824736272697,88.40082298666019,1156.986638974705
lib_bnnt-3_M062X_Z-31.FChk,0.0,0.0,-0.001550000000000001,-330.8067394680082,0.48576097940414,88.45908273466597,1173.410882935245
lib_bnnt-3_M062X_Z-30.FChk,0.0,0.0,-0.001500000000000001,-330.8067152905576,0.481336551645676,88.51816526060757,1189.91637056904
lib_bnnt-3_M062X_Z-29.FChk,0.0,0.0,-0.001450000000000001,-330.8066913343989,0.4769091490330788,88.57807889591823,1206.684629261463
lib_bnnt-3_M062X_Z-28.FChk,0.0,0.0,-0.001400000000000001,-330.8066675996921,0.4724787296558866,88.6388385347382,1223.74848827094
lib_bnnt-3_M062X_Z-27.FChk,0.0,0.0,-0.001350000000000001,-330.8066440865802,0.4680452507733404,88.70046371826763,1241.442007386469
lib_bnnt-3_M062X_Z-26.FChk,0.0,0.0,-0.001300000000000001,-330.8066207952172,0.46360866797865,88.76300827831054,1260.661332521076
lib_bnnt-3_M062X_Z-25.FChk,0.0,0.0,-0.001250000000000001,-330.8065977257643,0.4591689329649582,88.82657510070433,1282.647284861748
lib_bnnt-3_M062X_Z-24.FChk,0.0,0.0,-0.001200000000000001,-330.8065748783814,0.4547259903178529,88.89135417713234,1309.463379284339
lib_bnnt-3_M062X_Z-23.FChk,0.0,0.0,-0.00115,-330.8065522532223,0.4502797727370722,88.95762310123109,1342.299206611008
lib_bnnt-3_M062X_Z-22.FChk,0.0,0.0,-0.001100000000000001,-330.8065298504566,0.4458301984807065,89.0256538743929,1378.931087045959
lib_bnnt-3_M062X_Z-21.FChk,0.0,0.0,-0.00105,-330.8065076702604,0.441377179091103,89.09532962607349,1402.950074385716
lib_bnnt-3_M062X_Z-20.FChk,0.0,0.0,-0.001000000000000001,-330.8064857127993,0.4369206660779752,89.16485024192073,1361.42024272265
lib_bnnt-3_M062X_Z-19.FChk,0.0,0.0,-0.0009500000000000003,-330.8064639782501,0.4324607647731926,89.2303392446798,1261.784908074388
lib_bnnt-3_M062X_Z-18.FChk,0.0,0.0,-0.0009000000000000003,-330.8064424667737,0.4279976872993823,89.2926785122675,1251.514525766712
lib_bnnt-3_M062X_Z-17.FChk,0.0,0.0,-0.0008500000000000003,-330.8064211785314,0.4235314615853811,89.35703871208685,1332.99573250885
lib_bnnt-3_M062X_Z-16.FChk,0.0,0.0,-0.0008000000000000003,-330.8064001136837,0.4190618970705544,89.4264966591561,1447.149820465001
lib_bnnt-3_M062X_Z-15.FChk,0.0,0.0,-0.0007500000000000002,-330.8063792724002,0.4145887153957411,89.50167719618827,1554.390117306136
lib_bnnt-3_M062X_Z-14.FChk,0.0,0.0,-0.0007000000000000003,-330.8063586548757,0.4101116677768246,89.58033526846842,1566.166187571573
lib_bnnt-3_M062X_Z-13.FChk,0.0,0.0,-0.0006500000000000003,-330.8063382613029,0.4056307333847395,89.65610287909223,1457.675956964082
lib_bnnt-3_M062X_Z-12.FChk,0.0,0.0,-0.0006000000000000003,-330.8063180918629,0.4011461417907256,89.72706673411703,1398.610415346748
