# Name,Electric_Field_Direction_Z,Energy,Dipole_Moment,Polarizability,Hyperpolarizability,Energy_derivative_order_1_3,Energy_derivative_order_2_3
lib_bnnt_M062X_Z-48.FChk,-0.0004800000000000002,-1286.9392250207,1.809564415101229,367.2578975052928,-1969.82673136309,-1.0,-1.0
lib_bnnt_M062X_Z-47.FChk,-0.0004700000000000002,-1286.939206943463,1.805891931877716,367.2390234756044,-1804.411224316963,1.8058902000017694377,-366.6999992546492951
lib_bnnt_M062X_Z-46.FChk,-0.0004600000000000002,-1286.939188902896,1.802219629039548,367.221819695828,-1635.775239428722,1.8022224000047158601,-366.86000015606617414
lib_bnnt_M062X_Z-45.FChk,-0.0004500000000000002,-1286.939170899015,1.79854748978126,367.2063177173333,-1464.275145941051,1.7985467499981309863,-368.27000116090851672
lib_bnnt_M062X_Z-44.FChk,-0.0004400000000000002,-1286.939152931961,1.794875496962188,367.1925425980301,-1290.394349181479,1.7948730999972627085,-366.4599990127470012
lib_bnnt_M062X_Z-43.FChk,-0.0004300000000000002,-1286.939135001553,1.791203633130184,367.1805152024093,-1114.809423635562,1.7912049500024006177,-367.16999995967108417
lib_bnnt_M062X_Z-42.FChk,-0.0004200000000000002,-1286.939117107862,1.787531880767298,367.1702634764637,-938.4597574011935,1.7875338500006331047,-367.05000039383144952
lib_bnnt_M062X_Z-41.FChk,-0.0004100000000000002,-1286.939099250876,1.783860222251192,367.1617442743952,-762.6478979047239,1.7838571999995166057,-368.27999982946829088
lib_bnnt_M062X_Z-40.FChk,-0.0004000000000000002,-1286.939081430718,1.780188640067588,367.1549877082862,-589.0908776635611,1.7801850999976663524,-366.14000054058231698
lib_bnnt_M062X_Z-39.FChk,-0.0003900000000000002,-1286.939063647174,1.776517116798553,367.1499473816888,-420.0482001339531,1.7765203499997549099,-366.80999904170613096
lib_bnnt_M062X_Z-38.FChk,-0.0003800000000000002,-1286.939045900311,1.772845635602241,367.1465625075978,-258.3884493739198,1.7728488000023910557,-367.5000004310646164
lib_bnnt_M062X_Z-37.FChk,-0.0003700000000000002,-1286.939028190198,1.769174180317836,367.1447433487834,-107.6586750394197,1.769172400001277559,-367.7799997880907376
lib_bnnt_M062X_Z-36.FChk,-0.0003600000000000001,-1286.939010516863,1.765502735889688,367.1443589276136,27.88885840256756,1.7655017000017992164,-366.36000011470342283
lib_bnnt_M062X_Z-35.FChk,-0.0003500000000000002,-1286.938992880164,1.761831288927591,367.1452340710649,143.335055776891,1.7618341999980735679,-367.1400006233153328
lib_bnnt_M062X_Z-34.FChk,-0.0003400000000000001,-1286.938975280179,1.758159827802476,367.1471410064335,233.2422322385541,1.7581589999982227456,-367.89999935394520544
lib_bnnt_M062X_Z-33.FChk,-0.0003300000000000002,-1286.938957716984,1.754488343632437,367.1497953389283,291.9294286879648,1.7544895999976707075,-365.9800007493811308
lib_bnnt_M062X_Z-32.FChk,-0.0003200000000000001,-1286.938940190387,1.750816830536465,367.1528570147528,313.9284147287104,1.7508158000001382237,-368.77999876061545168
lib_bnnt_M062X_Z-31.FChk,-0.0003100000000000001,-1286.938922700668,1.747145286428738,367.1559358301314,294.6125347307413,1.7471434000049244864,-365.7000002821319489
lib_bnnt_M062X_Z-30.FChk,-0.0003000000000000001,-1286.938905247519,1.743473713238055,367.158601501029,230.9730968966552,1.7434732999976885987,-368.32000116504553525
lib_bnnt_M062X_Z-29.FChk,-0.0002900000000000001,-1286.938887831202,1.739802117272569,367.1604054133533,122.4545326768138,1.7397958999965100444,-367.15999907066526076
