# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Polarizability_xz,Hyperpolarizability_zzz
lib_bnnt_M062X_Z-10.FChk,0.0,0.0,-0.0001000000000000001,-1286.938563895278,1.670056176962662,366.9971631155294,8.86846152070575e-13,-195.9495214157231
lib_bnnt_M062X_Z-9.FChk,0.0,0.0,-9.000000000000003e-05,-1286.938547213113,1.666386214699849,366.9952892124908,-8.459899447643693e-13,-197.2134359858068
lib_bnnt_M062X_Z-8.FChk,0.0,0.0,-8.000000000000003e-05,-1286.93853056746,1.662716273174183,366.9928074833204,2.346789429452656e-12,-321.6523038634045
lib_bnnt_M062X_Z-7.FChk,0.0,0.0,-7.000000000000004e-05,-1286.938513958682,1.659046365011623,366.9883753214039,-7.709388682997087e-13,-589.9065006200494
lib_bnnt_M062X_Z-6.FChk,0.0,0.0,-6.000000000000002e-05,-1286.93849738661,1.655376517062058,366.9805017297341,-5.235811784132238e-13,-1009.897373653318
lib_bnnt_M062X_Z-5.FChk,0.0,0.0,-5.000000000000002e-05,-1286.93848085117,1.651706771380149,366.9677010876303,2.776667784587517e-12,-1572.092432750228
lib_bnnt_M062X_Z-4.FChk,0.0,0.0,-4.000000000000002e-05,-1286.938464352482,1.648037183887457,366.9486793217562,6.505906924303417e-14,-2247.884442832631
lib_bnnt_M062X_Z-3.FChk,0.0,0.0,-3.000000000000001e-05,-1286.938447890386,1.644367821717267,366.9225126530059,9.376943665984072e-13,-2992.606300140345
lib_bnnt_M062X_Z-2.FChk,0.0,0.0,-2.000000000000001e-05,-1286.93843146515,1.640698758946479,366.8887752969212,1.638467139741806e-12,-3752.989314844663
lib_bnnt_M062X_Z-1.FChk,0.0,0.0,-1e-05,-1286.938415076433,1.6370300711506,366.8475759302172,-1.576516694967722e-12,-4476.798615348313
lib_bnnt_M062X_Z+0.FChk,0.0,0.0,0.0,-1286.938398724455,1.633361830376473,366.7995053941959,-2.393640841091838e-12,-5121.423005882429
lib_bnnt_M062X_Z+1.FChk,0.0,0.0,1e-05,-1286.93838240924,1.629694100865482,366.7455067771571,9.9253938401489e-14,-5658.89181984281
lib_bnnt_M062X_Z+2.FChk,0.0,0.0,2.000000000000001e-05,-1286.938366130607,1.626026936239389,366.6867279469058,-9.936496070395151e-13,-6076.676584609559
lib_bnnt_M062X_Z+3.FChk,0.0,0.0,3.000000000000001e-05,-1286.938349888703,1.622360378292589,366.6243715955986,1.829647544582258e-13,-6375.240492518994
lib_bnnt_M062X_Z+4.FChk,0.0,0.0,4.000000000000002e-05,-1286.938333683385,1.618694456866202,366.5595887330329,-7.607248164731573e-13,-6564.073663825472
lib_bnnt_M062X_Z+5.FChk,0.0,0.0,5.000000000000002e-05,-1286.938317514673,1.615029191090602,366.4934070534185,-7.687184222504584e-13,-6657.707483047377
lib_bnnt_M062X_Z+6.FChk,0.0,0.0,6.000000000000002e-05,-1286.938301382839,1.611364590447925,366.4266971813043,1.727284981711819e-12,-6672.531135028575
lib_bnnt_M062X_Z+7.FChk,0.0,0.0,7.000000000000004e-05,-1286.938285287469,1.607700656515066,366.3601652517324,-2.828848266744899e-13,-6624.666432626829
lib_bnnt_M062X_Z+8.FChk,0.0,0.0,8.000000000000003e-05,-1286.938269228778,1.604037384701117,366.2943635682198,-1.166622354276115e-12,-6528.761255180863
lib_bnnt_M062X_Z+9.FChk,0.0,0.0,9.000000000000003e-05,-1286.938253206706,1.600374765438146,366.2297078803143,-4.04343225568482e-13,-6397.458057471951
lib_bnnt_M062X_Z+10.FChk,0.0,0.0,0.0001000000000000001,-1286.93823722132,1.596712785763064,366.1664975065478,-6.621370118864434e-13,-6241.273611864269
lib_bnnt_M062X_Z+11.FChk,0.0,0.0,0.00011,-1286.938221272471,1.593051429950191,366.1049373009573,-2.011724120620784e-12,-6068.722818666342
lib_bnnt_M062X_Z+12.FChk,0.0,0.0,0.00012,-1286.938205360283,1.58939068099172,366.0451548949798,-4.418687638008123e-13,-5886.540249076944
lib_bnnt_M062X_Z+13.FChk,0.0,0.0,0.00013,-1286.938189484692,1.585730520712409,365.9872209864655,2.485345262925875e-12,-5699.938898290125
lib_bnnt_M062X_Z+14.FChk,0.0,0.0,0.0001400000000000001,-1286.938173645678,1.582070930360129,365.9311580764637,2.937650123158164e-13,-5512.870476834975
lib_bnnt_M062X_Z+15.FChk,0.0,0.0,0.0001500000000000001,-1286.938157843266,1.578411891313946,365.8769549462322,-3.101963130802687e-13,-5328.259577448697
lib_bnnt_M062X_Z+16.FChk,0.0,0.0,0.0001600000000000001,-1286.938142077402,1.574753385242867,365.8245768723926,1.4184209362611e-12,-5148.201799064244
lib_bnnt_M062X_Z+17.FChk,0.0,0.0,0.0001700000000000001,-1286.938126348205,1.571095394006812,365.7739708250359,-2.040589919261038e-13,-4974.147226965143
lib_bnnt_M062X_Z+18.FChk,0.0,0.0,0.0001800000000000001,-1286.938110655556,1.567437900065745,365.7250713856734,1.330047183500938e-13,-4807.038119723605
lib_bnnt_M062X_Z+19.FChk,0.0,0.0,0.0001900000000000001,-1286.938094999405,1.563780887006284,365.677805431587,-1.000088900582341e-12,-4647.428825746915
lib_bnnt_M062X_Z+20.FChk,0.0,0.0,0.0002000000000000001,-1286.938079379934,1.560124338767594,365.6320963006257,1.033173546716171e-12,-4495.580594919853
lib_bnnt_M062X_Z+21.FChk,0.0,0.0,0.0002100000000000001,-1286.938063796991,1.556468240134182,365.5878674061613,1.287858708565182e-13,-4351.536727234316
lib_bnnt_M062X_Z+22.FChk,0.0,0.0,0.0002200000000000001,-1286.938048250511,1.552812576788533,365.5450408082969,4.298783551348606e-13,-4215.184275222537
lib_bnnt_M062X_Z+23.FChk,0.0,0.0,0.0002300000000000001,-1286.938032740696,1.549157334918553,365.5035394079004,1.114885961328582e-12,-4086.301133480234
