# Name,Electric_Field_Direction_Z,Energy,Dipole_Moment,Polarizability,Hyperpolarizability,Energy_derivative_ord1_n_points_3,Energy_derivative_ord1_n_points_5
lib_bnnt_M062X_Z-48.FChk,-0.0004800000000000002,-1286.9392250207,1.809564415101229,367.2578975052928,-1969.82673136309,-1.0,-1.0
lib_bnnt_M062X_Z-47.FChk,-0.0004700000000000002,-1286.939206943463,1.805891931877716,367.2390234756044,-1804.411224316963,1.8058902000017694377,-1.0
lib_bnnt_M062X_Z-46.FChk,-0.0004600000000000002,-1286.939188902896,1.802219629039548,367.221819695828,-1635.775239428722,1.8022224000047158601,1.8022237083368621853
lib_bnnt_M062X_Z-45.FChk,-0.0004500000000000002,-1286.939170899015,1.79854748978126,367.2063177173333,-1464.275145941051,1.7985467499981309863,1.7985464166666204446
lib_bnnt_M062X_Z-44.FChk,-0.0004400000000000002,-1286.939152931961,1.794875496962188,367.1925425980301,-1290.394349181479,1.7948730999972627085,1.794872183326819453
lib_bnnt_M062X_Z-43.FChk,-0.0004300000000000002,-1286.939135001553,1.791203633130184,367.1805152024093,-1114.809423635562,1.7912049500024006177,1.7912054416692930022
lib_bnnt_M062X_Z-42.FChk,-0.0004200000000000002,-1286.939117107862,1.787531880767298,367.1702634764637,-938.4597574011935,1.7875338500006331047,1.7875347750014497882
lib_bnnt_M062X_Z-41.FChk,-0.0004100000000000002,-1286.939099250876,1.783860222251192,367.1617442743952,-762.6478979047239,1.7838571999995166057,1.7838564416681559364
lib_bnnt_M062X_Z-40.FChk,-0.0004000000000000002,-1286.939081430718,1.780188640067588,367.1549877082862,-589.0908776635611,1.7801850999976663524,1.7801838749988602557
lib_bnnt_M062X_Z-39.FChk,-0.0003900000000000002,-1286.939063647174,1.776517116798553,367.1499473816888,-420.0482001339531,1.7765203499997549099,1.776521483335772536
lib_bnnt_M062X_Z-38.FChk,-0.0003800000000000002,-1286.939045900311,1.772845635602241,367.1465625075978,-258.3884493739198,1.7728488000023910557,1.7728496083381967541
lib_bnnt_M062X_Z-37.FChk,-0.0003700000000000002,-1286.939028190198,1.769174180317836,367.1447433487834,-107.6586750394197,1.769172400001277559,1.769171450003789476
lib_bnnt_M062X_Z-36.FChk,-0.0003600000000000001,-1286.939010516863,1.765502735889688,367.1443589276136,27.88885840256756,1.7655017000017992164,1.7655011666682367176
lib_bnnt_M062X_Z-35.FChk,-0.0003500000000000002,-1286.938992880164,1.761831288927591,367.1452340710649,143.335055776891,1.7618341999980735679,1.761835483330772936
lib_bnnt_M062X_Z-34.FChk,-0.0003400000000000001,-1286.938975280179,1.758159827802476,367.1471410064335,233.2422322385541,1.7581589999982227456,1.7581580333307359478
lib_bnnt_M062X_Z-33.FChk,-0.0003300000000000002,-1286.938957716984,1.754488343632437,367.1497953389283,291.9294286879648,1.7544895999976707075,1.7544903333286592338
lib_bnnt_M062X_Z-32.FChk,-0.0003200000000000001,-1286.938940190387,1.750816830536465,367.1528570147528,313.9284147287104,1.7508158000001382237,1.7508155666654903241
lib_bnnt_M062X_Z-31.FChk,-0.0003100000000000001,-1286.938922700668,1.747145286428738,367.1559358301314,294.6125347307413,1.7471434000049244864,1.7471430166772955882
lib_bnnt_M062X_Z-30.FChk,-0.0003000000000000001,-1286.938905247519,1.743473713238055,367.158601501029,230.9730968966552,1.7434732999976885987,1.7434745166633457098
lib_bnnt_M062X_Z-29.FChk,-0.0002900000000000001,-1286.938887831202,1.739802117272569,367.1604054133533,122.4545326768138,1.7397958999965100444,1.7397934833296434218
lib_bnnt_M062X_Z-28.FChk,-0.0002800000000000001,-1286.938870451601,1.736130509430943,367.1609088054984,-28.29899125852199,1.7361330000020823406,1.7361350333357689499
lib_bnnt_M062X_Z-27.FChk,-0.0002700000000000001,-1286.938853108542,1.732458904624479,367.1597186715884,-214.9967622012233,1.7324578999999838662,1.7324568750004541688
lib_bnnt_M062X_Z-26.FChk,-0.0002600000000000001,-1286.938835802443,1.72878732177377,367.1565219495479,-427.7016730402085,1.7287889500006146911,1.728789083335624391
lib_bnnt_M062X_Z-25.FChk,-0.0002500000000000001,-1286.938818532763,1.725115781685656,367.1511210696179,-653.4266596381019,1.7251192000022895466,1.7251207166677864427
lib_bnnt_M062X_Z-24.FChk,-0.0002400000000000001,-1286.938801300059,1.721444306907116,367.1434600810292,-877.260644657391,1.7214403499998807958,1.7214385749984386715
lib_bnnt_M062X_Z-23.FChk,-0.0002300000000000001,-1286.938784103956,1.717772919686809,367.1336337861576,-1083.849466968604,1.7177721500005736759,1.7177722583315104895
lib_bnnt_M062X_Z-22.FChk,-0.0002200000000000001,-1286.938766944616,1.714101640650859,367.1218885960155,-1258.950614228601,1.7141032999989923288,1.7141037583351391424
lib_bnnt_M062X_Z-21.FChk,-0.0002100000000000001,-1286.93874982189,1.710430487094421,367.1085993995536,-1390.750045509894,1.7104316999971834456,1.7104314083267919029
lib_bnnt_M062X_Z-20.FChk,-0.0002000000000000001,-1286.938732735982,1.706759472149394,367.0942462567147,-1470.766123241451,1.7067618500010704732,1.7067618000031017451
lib_bnnt_M062X_Z-19.FChk,-0.0001900000000000001,-1286.938715686653,1.703088603911828,367.0793730056584,-1494.276496920381,1.7030922999983209848,1.7030936583302864098
lib_bnnt_M062X_Z-18.FChk,-0.0001800000000000001,-1286.938698674136,1.699417884586334,367.0645522900799,-1460.373598131037,1.6994145999982278315,1.6994127750006673506
lib_bnnt_M062X_Z-17.FChk,-0.0001700000000000001,-1286.938681698361,1.695747310814355,367.05034786986,-1371.8090474062,1.6957478500001509082,1.6957484999968740204
lib_bnnt_M062X_Z-16.FChk,-0.0001600000000000001,-1286.938664759179,1.692076873803205,367.03727789724,-1234.81742960566,1.6920771999995308513,1.692077574999561879
lib_bnnt_M062X_Z-15.FChk,-0.0001500000000000001,-1286.938647856817,1.688406560001169,367.0257814007532,-1059.053466405627,1.6884043000042757438,1.6884028083391509907
lib_bnnt_M062X_Z-14.FChk,-0.0001400000000000001,-1286.938630991093,1.684736351871008,367.0161831633439,-857.7073453809065,1.6847403499997523165,1.684741641667451042
lib_bnnt_M062X_Z-13.FChk,-0.00013,-1286.93861416201,1.681066229330943,367.0086563160353,-647.7618583946704,1.6810686500001724443,1.6810695333333938278
